sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
1,Alex,Huston,Alex Huston,/mo/springfield/glendale-falcons/athletes/alex-huston/football/stats/?careerid=vtcju6cr9mjj3,vtcju6cr9mjj3,QB,Glendale,MO,5608,5608,509.8,436,664,0.657,69,20,114,11,2015,sacks
2,Cole,Martin,Cole Martin,/sc/fort-mill/nation-ford-falcons/athletes/cole-martin/football/stats/?careerid=1rog3kn5b57ue,1rog3kn5b57ue,QB,Nation Ford,SC,5414,5414,386.7,374,577,0.648,46,11,114,14,2015,sacks
3,Myles,Brennan,Myles Brennan,/ms/bay-st-louis/st-stanislaus-rock-a-chaws/athletes/myles-brennan/football/stats/?careerid=6rv66b63mbltd,6rv66b63mbltd,QB,St. Stanislaus,MS,5248,5248,349.9,303,486,0.623,53,8,129,15,2015,sacks
4,Austin,Scott,Austin Scott,/sc/spartanburg/spartanburg-vikings/athletes/austin-scott/football/stats/?careerid=3a29a8uloj900,3a29a8uloj900,QB,Spartanburg,SC,5144,5144,367.4,333,483,0.689,63,14,131,14,2015,sacks
5,Jack,Abraham,Jack Abraham,/ms/oxford/oxford-chargers/athletes/jack-abraham/football/stats/?careerid=qk4i39f5lqh66,qk4i39f5lqh66,QB,Oxford,MS,5091,5091,339.4,331,503,0.658,57,6,132,15,2015,sacks
6,Desmond,Hunter,Desmond Hunter,/ms/woodville/wilkinson-county-wildcats/athletes/desmond-hunter/football/stats/?careerid=lgveflacglbh1,lgveflacglbh1,QB,Wilkinson County,MS,4861,4861,373.9,295,470,0.628,42,15,114,13,2015,sacks
7,Layne,Hatcher,Layne Hatcher,/ar/little-rock/pulaski-academy-bruins/athletes/layne-hatcher/football/stats/?careerid=lnbmfbjuvvpi2,lnbmfbjuvvpi2,QB,Pulaski Academy,AR,4667,4667,333.4,309,469,0.659,55,11,128,14,2015,sacks
8,Brennan,Lewis,Brennan Lewis,/nc/beaufort/east-carteret-mariners/athletes/brennan-lewis/football/stats/?careerid=chbuhb6qasoee,chbuhb6qasoee,QB,East Carteret,NC,4609,4609,329.2,296,429,0.69,46,12,128,14,2015,sacks
9,Darquez,Lee,Darquez Lee,/nc/shelby/shelby-golden-lions/athletes/darquez-lee/football/stats/?careerid=2j8avumh97a55,2j8avumh97a55,"QB, MLB",Shelby,NC,4562,4562,304.1,222,390,0.569,60,13,124,15,2015,sacks
10,Tristan,Gebbia,Tristan Gebbia,/ca/calabasas/calabasas-coyotes/athletes/tristan-gebbia/football/stats/?careerid=7s841uv0l6jff,7s841uv0l6jff,QB,Calabasas,CA,4435,4435,316.8,278,442,0.629,45,9,122,14,2015,sacks
11,Tim,Tawa,Tim Tawa,/or/west-linn/west-linn-lions/athletes/tim-tawa/football/stats/?careerid=5i47agasfmlrb,5i47agasfmlrb,QB,West Linn,OR,4420,4420,315.7,269,394,0.683,50,3,142,14,2015,sacks
12,Ryan,Cash,Ryan Cash,/tx/plano/prestonwood-christian-lions/athletes/ryan-cash/football/stats/?careerid=mt1bik212leh1,mt1bik212leh1,"QB, WR",Prestonwood Christian,TX,4358,4358,311.3,318,441,0.721,51,4,138,14,2015,sacks
13,Patrick,Gonzales,Patrick Gonzales,/tx/houston/lutheran-south-academy-pioneers/athletes/patrick-gonzales/football/stats/?careerid=vuq77gmaf75rb,vuq77gmaf75rb,QB,Lutheran South Academy,TX,4346,4346,362.2,249,358,0.696,51,5,144,12,2015,sacks
14,Daniel,BridgeGadd,Daniel BridgeGadd,/az/phoenix/paradise-valley-trojans/athletes/daniel-bridgegadd/football/stats/?careerid=4idvteui3u0k4,4idvteui3u0k4,QB,Paradise Valley,AZ,4268,4268,304.9,251,374,0.671,47,9,135,14,2015,sacks
15,Mason,Fine,Mason Fine,/ok/locust-grove/locust-grove-pirates/athletes/mason-fine/football/stats/?careerid=gig9tiq6edmm6,gig9tiq6edmm6,"QB, WR",Locust Grove,OK,4227,4227,325.2,251,384,0.654,53,7,134,13,2015,sacks
16,Trevor,Pipkin,Trevor Pipkin,/ar/prescott/prescott-curley-wolves/athletes/trevor-pipkin/football/stats/?careerid=1bhc9s6oat755,1bhc9s6oat755,"QB, FS",Prescott,AR,4218,4218,301.3,297,404,0.735,46,7,138,14,2015,sacks
