Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,awards,heisman_finish,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_john_outland_trophy_most_outstanding_interior_lineman,award_mac_defensive_player_of_the_year,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
alexander-hansen-1,Alexander Hansen,Air Force,2015,DL,IDL,14.0,0.0,-3.14,14.0,,70.0,15.5,7.5,0.0,3.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cody-moorhead-1,Cody Moorhead,Air Force,2015,DL,IDL,12.0,0.0,-3.14,12.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david-harris-4,David Harris,Air Force,2015,DL,IDL,4.0,0.0,-3.14,4.0,4.0,10.0,2.5,2.0,0.0,1.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalen-lacy-1,Jalen Lacy,Air Force,2015,DL,IDL,12.0,0.0,-3.14,12.0,9.0,6.0,1.0,0.5,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellen-cleveland-1,Kellen Cleveland,Air Force,2015,DL,IDL,6.0,0.0,-3.14,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lochlin-deeks-1,Lochlin Deeks,Air Force,2015,DL,IDL,14.0,0.0,-3.14,14.0,12.0,31.0,5.5,1.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samuel-byers-1,Samuel Byers,Air Force,2015,DL,IDL,10.0,0.0,-3.14,10.0,9.0,15.0,3.0,2.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santo-coppola-1,Santo Coppola,Air Force,2015,DL,IDL,13.0,0.0,-3.14,13.0,12.0,18.0,4.0,1.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brennan-williams-2,Brennan Williams,Akron,2015,DL,IDL,5.0,0.0,-4.44,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brian-reinke-1,Brian Reinke,Akron,2015,DL,IDL,1.0,0.0,-4.44,,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brock-boxen-1,Brock Boxen,Akron,2015,DL,IDL,11.0,0.0,-4.44,11.0,11.0,7.0,2.5,0.5,0.0,0.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christopher-spruill-1,Christopher Spruill,Akron,2015,DL,IDL,5.0,0.0,-4.44,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cody-grice-1,Cody Grice,Akron,2015,DL,IDL,13.0,0.0,-4.44,13.0,12.0,26.0,5.5,3.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darius-copeland-1,Darius Copeland,Akron,2015,DL,IDL,12.0,0.0,-4.44,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamal-marcus-1,Jamal Marcus,Akron,2015,DL,IDL,11.0,0.0,-4.44,11.0,10.0,30.0,12.5,5.5,0.0,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richard-dorvilus-1,Richard Dorvilus,Akron,2015,DL,IDL,11.0,0.0,-4.44,11.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodney-coe-1,Rodney Coe,Akron,2015,DL,IDL,12.0,0.0,-4.44,12.0,11.0,46.0,8.5,2.0,0.0,3.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sevon-pittman-1,Se'Von Pittman,Akron,2015,DL,IDL,13.0,0.0,-4.44,13.0,12.0,36.0,7.0,3.0,0.0,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler-shipman-1,Tyler Shipman,Akron,2015,DT,IDL,0.0,0.0,-4.44,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
undrea-bullard-1,Undrea Bullard,Akron,2015,DL,IDL,0.0,0.0,-4.44,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashawn-robinson-1,A'Shawn Robinson,Alabama,2015,DL,IDL,15.0,1.0,,15.0,12.0,46.0,7.5,3.5,0.0,2.0,0.0,AA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dj-pettway-1,D.J. Pettway,Alabama,2015,DL,IDL,15.0,0.0,,15.0,12.0,18.0,5.0,2.0,0.0,2.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dashawn-hand-1,Da'Shawn Hand,Alabama,2015,DL,IDL,15.0,0.0,,15.0,12.0,16.0,6.5,3.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
